鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４７號十二樓,5.02,都市：其他:中心商業區,,,1071227,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,81.72999999999999,1,1,1,有,有,5760000,77804,坡道平面,27.62,1550000,預售屋、或土地及建物分件登記案件；,RPTPMLRJRHGGFHH96DA,28.46,7.01,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷４５號四樓,4.66,都市：其他:中心商業區,,,1080126,土地1建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,54.11,1,1,1,有,有,3960000,73184,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTRMLRJRHGGFHH17DA,28.46,7.01,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４５號九樓,5.02,都市：其他:中心商業區,,,1071216,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,81.66,1,1,1,有,有,5350000,73279,坡道平面,27.62,1390000,預售屋、或土地及建物分件登記案件；,RPUSMLRJRHGGFHH37DA,28.46,6.94,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷４５號十二樓,4.66,都市：其他:中心商業區,,,1071107,土地1建物1車位0,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,54.04,1,1,1,有,有,4020000,74389,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOTMLRJRHGGFHH86DA,28.46,6.94,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４５號十三樓,5.02,都市：其他:中心商業區,,,1080423,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,83.44,1,1,1,有,有,5750000,76795,坡道平面,29.4,1600000,預售屋、或土地及建物分件登記案件；,RPPTMLRJRHGGFHH96DA,28.46,6.94,0.0,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區民族路二段２３巷２０號十樓,7.12,都市：其他:商業區,,,1100911,土地1建物1車位1,十層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,125.72,2,2,1,有,有,8450000,67213,坡道平面,26.83,0,,RPQNMLPKIIGGFGH08DA,62.68,5.68,0.0,有,393.0
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷１５號二十一樓,10.39,都市：其他:中心商業區,,,1100709,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,137.26999999999998,3,2,2,有,有,10500000,79726,坡道平面,29.4,1900000,預售屋、或土地及建物分件登記案件；,RPXQMLLKRHGGFHH96DA,61.7,10.05,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷１７號十四樓,8.24,都市：其他:中心商業區,,,1071029,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,106.37,3,2,1,有,有,7730000,78476,坡道平面,27.62,1550000,預售屋、或土地及建物分件登記案件；,RPRRMLLKRHGGFHH09DA,47.61,4.75,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷２３號二十樓,7.88,都市：其他:中心商業區,,,1090125,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,108.91,2,2,1,有,有,7300000,71689,坡道平面,29.4,1600000,預售屋、或土地及建物分件登記案件；,RPPNMLPKRHGGFHH88DA,44.57,7.49,0.0,有,
龜山區,房地(土地+建物),桃園市龜山區華亞三路３９巷２５號七樓,5.73,都市：其他:中心商業區,,,1071219,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100810,57.95,1,1,1,有,有,4600000,79379,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSNMLPKRHGGFHH56DA,33.65,4.3,0.0,有,
